Country,Confirmed,Deaths,Recovered,Active,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
Guinea-Bissau,1954,26.0,803.0,1125.0,5.0,991.0,13.0,1500.0,761.0,1970876.0
Iceland,1847,10.0,1823.0,14.0,,5410.0,29.0,124179.0,363736.0,341399.0
Rwanda,1821,5.0,918.0,898.0,,140.0,0.4,242129.0,18666.0,12971867.0
Sierra Leone,1783,66.0,1313.0,404.0,,223.0,8.0,,,7987284.0
Namibia,1775,8.0,75.0,1692.0,13.0,698.0,3.0,21806.0,8572.0,2543879.0
Benin,1770,35.0,1036.0,699.0,1.0,146.0,3.0,80527.0,6632.0,12142400.0
Yemen,1681,479.0,797.0,405.0,,56.0,16.0,120.0,4.0,29867108.0
Mozambique,1669,11.0,593.0,1065.0,,53.0,0.4,52422.0,1674.0,31307542.0
New Zealand,1556,22.0,1513.0,21.0,,311.0,4.0,456227.0,91207.0,5002100.0
Tunisia,1452,50.0,1142.0,260.0,3.0,123.0,4.0,89318.0,7552.0,11827086.0
Suriname,1439,23.0,890.0,526.0,7.0,2451.0,39.0,1244.0,2119.0,586996.0
Latvia,1219,31.0,1045.0,143.0,2.0,647.0,16.0,191070.0,101387.0,1884559.0
Uruguay,1192,34.0,948.0,210.0,5.0,343.0,10.0,103003.0,29645.0,3474595.0
Jordan,1168,11.0,1041.0,116.0,3.0,114.0,1.0,565109.0,55348.0,10210096.0
Liberia,1162,72.0,641.0,449.0,,229.0,14.0,,,5065036.0
Niger,1136,69.0,1027.0,40.0,,47.0,3.0,9052.0,373.0,24254937.0
Georgia,1131,16.0,920.0,195.0,5.0,284.0,4.0,201519.0,50524.0,3988597.0
Uganda,1115,2.0,982.0,131.0,,24.0,0.04,260465.0,5684.0,45824227.0
Burkina Faso,1086,53.0,920.0,113.0,,52.0,3.0,,,20937561.0
Cyprus,1057,19.0,852.0,186.0,,875.0,16.0,193712.0,160361.0,1207974.0
Angola,932,40.0,242.0,650.0,15.0,28.0,1.0,10000.0,304.0,32925429.0
Chad,915,75.0,810.0,30.0,,56.0,5.0,,,16453742.0
Andorra,897,52.0,803.0,42.0,,11608.0,673.0,3750.0,48529.0,77274.0
Togo,868,18.0,599.0,251.0,2.0,105.0,2.0,40763.0,4917.0,8290735.0
Sao Tome and Principe,863,14.0,696.0,153.0,,3933.0,64.0,2789.0,12711.0,219421.0
Jamaica,842,10.0,714.0,118.0,,284.0,3.0,36194.0,12219.0,2962090.0
Diamond Princess,712,13.0,651.0,48.0,4.0,,,,,
Malta,700,9.0,665.0,26.0,,1585.0,20.0,120145.0,272050.0,441628.0
San Marino,699,42.0,657.0,0.0,,20598.0,1238.0,5729.0,168818.0,33936.0
Botswana,686,1.0,52.0,633.0,1.0,291.0,0.4,62296.0,26457.0,2354646.0
Réunion,657,3.0,558.0,96.0,4.0,733.0,3.0,35419.0,39541.0,895760.0
Syria,650,38.0,200.0,412.0,,37.0,2.0,,,17526786.0
Channel Islands,584,47.0,533.0,4.0,,3357.0,270.0,30721.0,176584.0,173974.0
Tanzania,509,21.0,183.0,305.0,7.0,9.0,0.4,,,59835043.0
Lesotho,505,12.0,128.0,365.0,,236.0,6.0,7463.0,3482.0,2143433.0
Taiwan,458,7.0,440.0,11.0,,19.0,0.3,80623.0,3385.0,23819907.0
Vietnam,420,,365.0,55.0,,4.0,,275000.0,2823.0,97399175.0
Guyana,370,20.0,181.0,169.0,4.0,470.0,25.0,4273.0,5431.0,786822.0
Burundi,361,1.0,279.0,81.0,,30.0,0.08,13105.0,1100.0,11911526.0
Comoros,354,7.0,328.0,19.0,,407.0,8.0,,,870768.0
Myanmar,350,6.0,290.0,54.0,,6.0,0.1,110526.0,2030.0,54435444.0
Mauritius,344,10.0,332.0,2.0,,270.0,8.0,205285.0,161398.0,1271921.0
Bahamas,342,11.0,91.0,240.0,1.0,869.0,28.0,3966.0,10079.0,393503.0
Isle of Man,336,24.0,312.0,0.0,,3950.0,282.0,7843.0,92200.0,85065.0
Mongolia,288,,218.0,70.0,6.0,88.0,,33392.0,10175.0,3281756.0
Gambia,277,6.0,60.0,211.0,,114.0,2.0,4515.0,1865.0,2420705.0
Martinique,269,15.0,98.0,156.0,4.0,717.0,40.0,12227.0,32584.0,375244.0
Eritrea,263,,189.0,74.0,,74.0,,,,3549699.0
Cambodia,225,,143.0,82.0,1.0,13.0,,58499.0,3496.0,16734420.0
Faeroe Islands,214,,188.0,26.0,2.0,4378.0,,33149.0,678227.0,48876.0
Cayman Islands,203,1.0,202.0,0.0,,3086.0,15.0,28904.0,439444.0,65774.0
Guadeloupe,203,14.0,176.0,13.0,3.0,507.0,35.0,15235.0,38075.0,400129.0
Gibraltar,185,,180.0,5.0,,5491.0,,19721.0,585367.0,33690.0
Bermuda,153,9.0,139.0,5.0,1.0,2457.0,145.0,18320.0,294245.0,62261.0
Trinidad and Tobago,147,8.0,128.0,11.0,,105.0,6.0,6550.0,4679.0,1399814.0
Brunei,141,3.0,138.0,0.0,,322.0,7.0,37058.0,84652.0,437768.0
Aruba,119,3.0,102.0,14.0,,1114.0,28.0,10111.0,94674.0,106798.0
Monaco,116,4.0,104.0,8.0,,2955.0,102.0,38209.0,973180.0,39262.0
Sint Maarten,114,15.0,63.0,36.0,,2657.0,350.0,634.0,14775.0,42909.0
Seychelles,114,,39.0,75.0,,1159.0,,,,98390.0
Barbados,110,7.0,94.0,9.0,,383.0,24.0,10403.0,36197.0,287401.0
Turks and Caicos,97,2.0,35.0,60.0,1.0,2503.0,52.0,1103.0,28463.0,38752.0
Bhutan,95,,85.0,10.0,,123.0,,41477.0,53714.0,772187.0
Liechtenstein,86,1.0,81.0,4.0,,2255.0,26.0,900.0,23600.0,38136.0
Antigua and Barbuda,82,3.0,60.0,19.0,1.0,837.0,31.0,1189.0,12135.0,97985.0
Papua New Guinea,62,,11.0,51.0,,7.0,,10000.0,1116.0,8957907.0
French Polynesia,62,,60.0,2.0,,221.0,,4649.0,16543.0,281023.0
St. Vincent Grenadines,52,,39.0,13.0,,469.0,,1834.0,16528.0,110965.0
Saint Martin,49,3.0,41.0,5.0,1.0,1266.0,78.0,1080.0,27900.0,38709.0
Belize,48,2.0,26.0,20.0,,121.0,5.0,3166.0,7953.0,398094.0
Macao,46,,46.0,0.0,,71.0,,4071.0,6264.0,649927.0
Curaçao,29,1.0,24.0,4.0,,177.0,6.0,1080.0,6580.0,164141.0
Fiji,27,,18.0,9.0,,30.0,,4000.0,4460.0,896900.0
Saint Lucia,24,,22.0,2.0,,131.0,,2934.0,15973.0,183687.0
Timor-Leste,24,,24.0,0.0,,18.0,,1568.0,1188.0,1320056.0
Grenada,23,,23.0,0.0,,204.0,,5465.0,48552.0,112560.0
New Caledonia,22,,22.0,0.0,,77.0,,10119.0,35420.0,285687.0
Laos,20,,19.0,1.0,,3.0,,25501.0,3502.0,7282576.0
Dominica,18,,18.0,0.0,,250.0,,1005.0,13959.0,71999.0
Saint Kitts and Nevis,17,,15.0,2.0,,319.0,,948.0,17811.0,53225.0
Falkland Islands,13,,13.0,0.0,,3729.0,,1816.0,520941.0,3486.0
Greenland,13,,13.0,0.0,,229.0,,5666.0,99794.0,56777.0
Montserrat,12,1.0,10.0,1.0,,2404.0,200.0,61.0,12220.0,4992.0
Vatican City,12,,12.0,0.0,,14981.0,,,,801.0
Caribbean Netherlands,11,,7.0,4.0,,419.0,,424.0,16159.0,26240.0
Western Sahara,10,1.0,8.0,1.0,,17.0,2.0,,,598239.0
MS Zaandam,9,2.0,,7.0,,,,,,
British Virgin Islands,8,1.0,7.0,0.0,,265.0,33.0,439.0,14515.0,30245.0
St. Barth,7,,6.0,1.0,,709.0,,1246.0,126126.0,9879.0
Saint Pierre Miquelon,4,,1.0,3.0,,691.0,,,,5792.0
Anguilla,3,,3.0,0.0,,200.0,,380.0,25313.0,15012.0
